index,SKU,BANK_NAME,MTG_PRODUCT_SUBTITLE,MTG_PRODUCT_TYPE_RAW,MTG_PRODUCT_TYPE,MTG_PRODUCT_YEARS,MTG_INITIAL_RATE_PCT,MTG_APR_PCT,MTG_REVERT_RATE,MTG_FEES_TOTAL,MTG_INITIAL_RATE_MONTHS,SCAN_DATE,TID
6511,3745027,Clydesdale Bank,First time buyer,5 year fixed,fixed,25,5.94,6.2,5.99,1434.0,62,2022-10-16 06:42:26,489695
6512,3745064,Yorkshire Bank,First time buyer,5 year fixed,fixed,25,5.94,6.2,5.99,1434.0,62,2022-10-16 06:42:26,489696
6513,3748516,Principality Building Society,First time buyer,2 year fixed,fixed,25,5.95,5.4,4.65,968.0,28,2022-10-16 06:42:26,489697
6514,3744324,Skipton Building Society,First time buyer,5 year fixed,fixed,25,5.95,5.5,4.89,610.0,63,2022-10-16 06:42:26,489698
6515,3746685,Accord Mortgages,First time buyer,5 year fixed,fixed,25,5.95,5.9,5.39,1320.0,63,2022-10-16 06:42:26,489699
6516,3748514,Principality Building Society,First time buyer,5 year fixed,fixed,25,5.95,5.8,5.15,1468.0,64,2022-10-16 06:42:26,489700
6517,3754663,Yorkshire Building Society,First time buyer,5 year fixed,fixed,25,5.96,5.8,5.39,495.0,64,2022-10-16 06:42:26,489701
6518,3742496,Bank of Ireland UK,First time buyer,5 year fixed,fixed,25,5.96,6.0,5.59,1705.0,62,2022-10-16 06:42:26,489702
6519,3745399,NatWest,First time buyer,2 year fixed,fixed,25,5.97,5.4,4.99,1025.0,28,2022-10-16 06:42:26,489703
6520,3746174,RBS,First time buyer,2 year fixed,fixed,25,5.97,5.4,4.99,1025.0,28,2022-10-16 06:42:26,489704
6521,3755146,Virgin Money,First time buyer,5 year fixed,fixed,25,5.98,5.8,5.49,1300.0,63,2022-10-16 06:42:26,489705
6522,3730875,Nottingham Building Society,First time buyer,5 year fixed,fixed,25,5.98,5.7,4.99,1524.0,61,2022-10-16 06:42:26,489706
